0	16073	
1	16081	
2	16073	
3	16085	
4	16077	
5	16084	
6	16083	
7	16083	
8	16087	
9	16084	
10	16083	
11	16087	
12	16083	
13	16070	
14	16079	
15	16080	
16	16073	
17	16078	
18	16081	
19	16078	
20	16094	
21	16087	
22	16073	
23	16084	
24	16081	
25	16080	
26	16077	
27	16085	
28	16073	
29	16084	
30	16071	
31	16075	
32	16085	
33	16074	
34	16081	
35	16072	
36	16078	
37	16067	
38	16080	
39	16077	
40	16068	
41	16077	
42	16078	
43	16090	
44	16078	
45	16077	
46	16073	
47	16086	
48	16080	
49	16078	
50	16078	
51	16078	
52	16076	
53	16082	
54	16078	
55	16084	
56	16086	
57	16078	
58	16082	
59	16083	
60	16082	
61	16077	
62	16083	
63	16081	
64	16083	
65	16084	
66	16076	
67	16081	
68	16075	
69	16081	
70	16081	
71	16084	
72	16076	
73	16087	
74	16076	
75	16078	
76	16088	
77	16076	
78	16079	
79	16076	
80	16082	
81	16083	
82	16079	
83	16083	
84	16086	
85	16092	
86	16081	
87	16083	
88	16083	
89	16085	
90	16080	
91	16087	
92	16090	
93	16097	
94	16084	
95	16090	
96	16079	
97	16086	
98	16096	
99	16087	
100	16099	
101	16099	
102	16095	
103	16109	
104	16099	
105	16100	
106	16104	
107	16098	
108	16095	
109	16101	
110	16097	
111	16091	
112	16101	
113	16104	
114	16108	
115	16106	
116	16094	
117	16096	
118	16111	
119	16097	
120	16090	
121	16099	
122	16093	
123	16099	
124	16086	
125	16100	
126	16101	
127	16094	
128	16095	
129	16091	
130	16104	
131	16098	
132	16091	
133	16092	
134	16093	
135	16088	
136	16087	
137	16090	
138	16091	
139	16098	
140	16089	
141	16097	
142	16083	
143	16098	
144	16092	
145	16092	
146	16088	
147	16090	
148	16089	
149	16090	
150	16086	
151	16085	
152	16085	
153	16085	
154	16084	
155	16090	
156	16089	
157	16082	
158	16086	
159	16076	
160	16085	
161	16074	
162	16078	
163	16076	
164	16076	
165	16076	
166	16082	
167	16075	
168	16071	
169	16070	
170	16070	
171	16074	
172	16075	
173	16075	
174	16071	
175	16074	
176	16061	
177	16061	
178	16065	
179	16068	
180	16062	
181	16059	
182	16060	
183	16061	
184	16059	
185	16061	
186	16052	
187	16055	
188	16056	
189	16057	
190	16058	
191	16056	
192	16047	
193	16056	
194	16043	
195	16049	
196	16057	
197	16056	
198	16062	
199	16047	
200	16051	
201	16057	
202	16051	
203	16049	
204	16048	
205	16049	
206	16053	
207	16046	
208	16056	
209	16056	
210	16057	
211	16042	
212	16044	
213	16049	
214	16041	
215	16048	
216	16048	
217	16044	
218	16045	
219	16049	
220	16044	
221	16041	
222	16044	
223	16055	
224	16037	
225	16043	
226	16043	
227	16047	
228	16046	
229	16046	
230	16044	
231	16038	
232	16054	
233	16049	
234	16040	
235	16042	
236	16042	
237	16046	
238	16040	
239	16036	
240	16049	
241	16032	
242	16037	
243	16054	
244	16040	
245	16036	
246	16042	
247	16045	
248	16045	
249	16042	
250	16043	
251	16052	
252	16036	
253	16057	
254	16050	
255	16053	
256	16041	
257	16049	
258	16061	
259	16045	
260	16051	
261	16045	
