0	15565	15573	15567	
1	15572	15573	15567	
2	15566	15574	15570	
3	15567	15575	15571	
4	15568	15570	15564	
5	15566	15571	15569	
6	15568	15571	15566	
7	15566	15572	15572	
8	15568	15574	15565	
9	15565	15573	15570	
10	15569	15574	15568	
11	15565	15570	15567	
12	15563	15574	15567	
13	15571	15575	15575	
14	15566	15570	15567	
15	15564	15574	15568	
16	15565	15575	15565	
17	15570	15572	15568	
18	15567	15572	15572	
19	15563	15574	15570	
20	15568	15575	15568	
21	15570	15570	15569	
22	15565	15574	15571	
23	15565	15572	15569	
24	15565	15575	15569	
25	15567	15568	15565	
26	15565	15571	15570	
27	15571	15569	15565	
28	15568	15573	15568	
29	15565	15573	15570	
30	15569	15579	15570	
31	15568	15572	15565	
32	15564	15574	15565	
33	15563	15567	15568	
34	15570	15572	15567	
35	15571	15576	15567	
36	15570	15574	15567	
37	15568	15573	15570	
38	15568	15568	15568	
39	15569	15574	15563	
40	15569	15573	15567	
41	15562	15575	15569	
42	15567	15576	15570	
43	15569	15576	15566	
44	15567	15578	15568	
45	15563	15575	15568	
46	15572	15573	15572	
47	15567	15574	15570	
48	15566	15569	15573	
49	15566	15572	15570	
50	15566	15571	15567	
51	15565	15577	15571	
52	15567	15571	15571	
53	15565	15568	15566	
54	15570	15573	15572	
55	15563	15573	15572	
56	15564	15573	15566	
57	15568	15573	15567	
58	15568	15575	15571	
59	15566	15571	15567	
60	15566	15575	15565	
61	15570	15571	15570	
62	15567	15578	15568	
63	15561	15568	15573	
64	15568	15571	15571	
65	15567	15572	15566	
66	15564	15573	15568	
67	15574	15573	15567	
68	15567	15575	15568	
69	15566	15571	15565	
70	15565	15570	15563	
71	15569	15570	15563	
72	15563	15572	15570	
73	15571	15573	15568	
74	15568	15572	15568	
75	15566	15573	15564	
76	15562	15570	15569	
77	15570	15566	15566	
78	15568	15569	15567	
79	15566	15569	15571	
80	15572	15574	15571	
81	15563	15572	15572	
82	15564	15573	15568	
83	15572	15573	15566	
84	15570	15573	15564	
85	15567	15576	15574	
86	15565	15574	15570	
87	15563	15571	15568	
88	15564	15568	15568	
89	15573	15573	15567	
90	15572	15569	15569	
91	15567	15575	15565	
92	15563	15573	15564	
93	15570	15572	15570	
94	15565	15571	15563	
95	15567	15573	15567	
96	15571	15577	15569	
97	15571	15570	15570	
98	15569	15577	15566	
99	15565	15576	15569	
100	15568	15571	15569	
101	15573	15566	15570	
102	15572	15572	15565	
103	15566	15573	15571	
104	15572	15574	15567	
105	15570	15570	15567	
106	15571	15570	15569	
107	15565	15576	15568	
108	15568	15568	15569	
109	15572	15571	15565	
110	15564	15571	15569	
111	15568	15571	15567	
112	15569	15572	15567	
113	15570	15573	15569	
114	15562	15569	15569	
115	15569	15572	15570	
116	15564	15575	15570	
117	15566	15573	15567	
118	15561	15573	15567	
119	15571	15571	15568	
120	15569	15571	15577	
121	15568	15574	15566	
122	15570	15573	15567	
123	15567	15569	15564	
124	15571	15570	15570	
125	15565	15571	15569	
126	15570	15570	15566	
127	15571	15572	15571	
128	15573	15571	15572	
129	15562	15568	15563	
130	15571	15570	15570	
131	15567	15570	15569	
132	15567	15575	15568	
133	15566	15569	15569	
134	15568	15573	15566	
135	15564	15574	15567	
136	15565	15573	15566	
137	15565	15571	15567	
138	15574	15572	15566	
139	15567	15572	15568	
140	15569	15573	15567	
141	15569	15572	15568	
142	15571	15573	15568	
143	15569	15577	15569	
144	15567	15569	15577	
145	15569	15570	15566	
146	15566	15573	15566	
147	15565	15579	15569	
148	15569	15571	15567	
149	15564	15570	15567	
150	15569	15577	15571	
151	15566	15572	15567	
152	15566	15574	15568	
153	15567	15574	15569	
154	15572	15568	15570	
155	15566	15570	15573	
156	15568	15571	15569	
157	15565	15575	15568	
158	15571	15571	15568	
159	15563	15573	15569	
160	15567	15573	15570	
161	15573	15573	15571	
162	15569	15573	15571	
163	15571	15574	15571	
164	15569	15576	15567	
165	15567	15572	15567	
166	15568	15572	15564	
167	15573	15571	15567	
168	15567	15573	15563	
169	15571	15571	15572	
170	15569	15574	15573	
171	15564	15576	15570	
172	15570	15571	15564	
173	15561	15571	15565	
174	15566	15572	15569	
175	15567	15574	15568	
176	15567	15574	15567	
177	15564	15568	15571	
178	15565	15573	15570	
179	15565	15569	15563	
180	15567	15570	15570	
181	15572	15573	15568	
182	15567	15568	15563	
183	15569	15570	15568	
184	15567	15572	15565	
185	15564	15576	15567	
186	15569	15571	15571	
187	15567	15573	15567	
188	15568	15573	15568	
189	15567	15571	15570	
190	15572	15570	15570	
191	15568	15572	15566	
192	15567	15570	15561	
193	15564	15572	15575	
194	15567	15574	15568	
195	15567	15576	15566	
196	15566	15567	15570	
197	15562	15570	15567	
198	15566	15575	15567	
199	15571	15570	15572	
200	15568	15569	15569	
201	15569	15579	15566	
202	15566	15569	15568	
203	15566	15565	15566	
204	15570	15569	15566	
205	15563	15575	15567	
206	15571	15569	15567	
207	15568	15572	15565	
208	15567	15569	15570	
209	15566	15573	15568	
210	15565	15575	15570	
211	15565	15571	15573	
212	15566	15570	15568	
213	15564	15573	15565	
214	15563	15571	15568	
215	15564	15570	15571	
216	15571	15572	15569	
217	15568	15573	15569	
218	15570	15571	15566	
219	15566	15569	15571	
220	15566	15575	15569	
221	15568	15574	15567	
222	15568	15572	15563	
223	15566	15571	15567	
224	15565	15570	15569	
225	15567	15571	15568	
226	15566	15571	15570	
227	15575	15574	15568	
228	15566	15573	15568	
229	15572	15574	15564	
230	15563	15572	15565	
231	15567	15571	15563	
232	15569	15572	15568	
233	15569	15574	15567	
234	15565	15569	15567	
235	15568	15570	15571	
236	15567	15574	15564	
237	15565	15571	15566	
238	15567	15572	15568	
239	15570	15576	15567	
240	15565	15571	15570	
241	15570	15571	15569	
242	15565	15572	15567	
243	15568	15574	15569	
244	15567	15571	15571	
245	15563	15569	15567	
246	15569	15574	15566	
247	15564	15572	15566	
248	15571	15573	15569	
249	15569	15572	15567	
250	15560	15574	15571	
251	15567	15576	15568	
252	15568	15568	15568	
253	15564	15577	15565	
254	15569	15574	15571	
255	15573	15574	15565	
256	15565	15576	15571	
257	15568	15568	15566	
258	15566	15570	15567	
259	15568	15573	15569	
260	15565	15572	15566	
261	15568	15570	15566	
262	15567	15570	15572	
263	15569	15576	15569	
264	15569	15577	15567	
265	15568	15567	15568	
266	15567	15577	15569	
267	15567	15572	15567	
268	15562	15577	15569	
269	15567	15575	15570	
270	15566	15570	15569	
271	15565	15572	15566	
272	15570	15569	15564	
273	15567	15573	15567	
274	15565	15570	15569	
275	15566	15571	15571	
276	15569	15572	15569	
277	15568	15573	15571	
278	15565	15569	15566	
279	15565	15568	15571	
280	15566	15578	15571	
281	15567	15574	15568	
282	15567	15570	15570	
283	15567	15569	15561	
284	15564	15574	15567	
285	15568	15573	15568	
286	15565	15577	15570	
287	15568	15572	15571	
288	15570	15574	15571	
289	15568	15569	15564	
290	15565	15575	15572	
291	15572	15573	15565	
292	15565	15574	15569	
293	15568	15573	15569	
294	15564	15575	15572	
295	15565	15569	15567	
296	15567	15576	15566	
297	15570	15568	15568	
298	15567	15575	15567	
299	15570	15571	15564	
300	15567	15574	15570	
301	15570	15573	15566	
302	15568	15570	15567	
303	15567	15573	15565	
304	15571	15576	15568	
305	15570	15570	15570	
306	15567	15574	15561	
307	15569	15569	15567	
308	15568	15569	15568	
309	15567	15572	15567	
310	15572	15570	15570	
311	15566	15573	15567	
312	15565	15573	15568	
313	15568	15569	15569	
314	15572	15576	15570	
315	15566	15571	15568	
316	15569	15568	15564	
317	15571	15573	15569	
318	15567	15573	15569	
319	15565	15573	15565	
320	15565	15572	15565	
321	15570	15571	15569	
322	15571	15573	15571	
323	15569	15574	15565	
324	15566	15575	15576	
325	15563	15573	15568	
326	15568	15571	15569	
327	15565	15573	15570	
328	15564	15574	15564	
329	15568	15573	15566	
330	15568	15572	15573	
331	15566	15571	15564	
332	15572	15569	15573	
333	15569	15574	15565	
334	15566	15574	15569	
335	15570	15572	15565	
336	15567	15572	15569	
337	15571	15571	15567	
338	15569	15574	15569	
339	15565	15575	15572	
340	15569	15573	15567	
341	15567	15567	15566	
342	15569	15573	15565	
343	15566	15574	15569	
344	15572	15568	15569	
345	15565	15572	15566	
346	15568	15566	15564	
347	15568	15573	15569	
348	15565	15576	15566	
349	15567	15573	15567	
350	15566	15575	15568	
351	15562	15575	15565	
352	15569	15571	15572	
353	15559	15574	15566	
354	15565	15575	15568	
355	15567	15575	15565	
356	15563	15578	15565	
357	15574	15565	15570	
358	15568	15574	15564	
359	15565	15577	15572	
360	15566	15580	15566	
361	15566	15572	15566	
362	15569	15568	15568	
363	15566	15569	15571	
364	15572	15569	15564	
365	15573	15572	15568	
366	15569	15568	15569	
367	15561	15574	15565	
368	15571	15570	15569	
369	15566	15572	15573	
370	15571	15568	15571	
371	15564	15572	15567	
372	15566	15569	15567	
373	15568	15573	15569	
374	15571	15572	15570	
375	15564	15565	15566	
376	15570	15570	15572	
377	15568	15573	15570	
378	15564	15573	15569	
379	15574	15570	15566	
380	15567	15571	15570	
381	15566	15574	15569	
382	15568	15571	15567	
383	15566	15571	15566	
384	15567	15574	15566	
